2023-08-22 20:03:12.862548 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:14.201447 - Street: 1, Velocity: 44.2, Num Cars: 100
2023-08-22 20:03:14.867015 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:16.205613 - Street: 1, Velocity: 42.1, Num Cars: 100
2023-08-22 20:03:16.871101 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:18.209974 - Street: 1, Velocity: 40.1, Num Cars: 100
2023-08-22 20:03:18.875287 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:20.214084 - Street: 1, Velocity: 39.4, Num Cars: 100
2023-08-22 20:03:20.879047 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:22.218092 - Street: 1, Velocity: 41.6, Num Cars: 100
2023-08-22 20:03:22.883134 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:24.222235 - Street: 1, Velocity: 43.5, Num Cars: 100
2023-08-22 20:03:24.887492 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:26.226420 - Street: 1, Velocity: 38.8, Num Cars: 100
2023-08-22 20:03:26.891787 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:28.230362 - Street: 1, Velocity: 39.7, Num Cars: 100
2023-08-22 20:03:28.896061 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:30.235368 - Street: 1, Velocity: 43.4, Num Cars: 100
2023-08-22 20:03:30.900122 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:32.237688 - Street: 1, Velocity: 44.6, Num Cars: 100
2023-08-22 20:03:32.904499 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:34.242001 - Street: 1, Velocity: 42.1, Num Cars: 100
2023-08-22 20:03:34.908716 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:36.246668 - Street: 1, Velocity: 39.7, Num Cars: 100
2023-08-22 20:03:36.913069 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:38.251413 - Street: 1, Velocity: 38.8, Num Cars: 100
2023-08-22 20:03:38.917082 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:40.256291 - Street: 1, Velocity: 40.6, Num Cars: 100
2023-08-22 20:03:40.920876 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:42.261099 - Street: 1, Velocity: 43.9, Num Cars: 100
2023-08-22 20:03:42.925072 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:44.265576 - Street: 1, Velocity: 44.2, Num Cars: 100
2023-08-22 20:03:44.929415 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:46.270318 - Street: 1, Velocity: 45.8, Num Cars: 100
